,k,max_lr_iterations,C,scale_factor,nfeatures,nlevels,edgeThreshold,firstLevel,WTA_K,patchSize,fastThreshold,precision_score,recall_score,f1_score,accuracy_score
0,50,3,0.01,1.2,30,4,10,0,2,10,10,0.10511159107271419,1.0,0.19022801302931594,0.10511159107271419
1,50,3,0.01,1.2,30,4,10,0,2,10,15,0.09719222462203024,1.0,0.17716535433070865,0.09719222462203024
2,50,3,0.01,1.2,30,4,10,0,2,10,20,0.10439164866810655,1.0,0.18904823989569752,0.10439164866810655
3,50,3,0.01,1.2,30,4,10,0,2,10,25,0.10511159107271419,1.0,0.19022801302931594,0.10511159107271419
4,50,3,0.01,1.2,30,4,10,0,2,10,30,0.11735061195104392,1.0,0.21005154639175258,0.11735061195104392
5,50,3,0.01,1.2,30,4,10,0,2,15,10,0.11087113030957524,1.0,0.19961114711600778,0.11087113030957524
6,50,3,0.01,1.2,30,4,10,0,2,15,15,0.10367170626349892,1.0,0.187866927592955,0.10367170626349892
7,50,3,0.01,1.2,30,4,10,0,2,15,20,0.10655147588192944,1.0,0.1925829538061158,0.10655147588192944
8,50,3,0.01,1.2,30,4,10,0,2,15,25,0.09935205183585313,1.0,0.1807465618860511,0.09935205183585313
9,50,3,0.01,1.2,30,4,10,0,2,15,30,0.10871130309575235,1.0,0.1961038961038961,0.10871130309575235
10,50,3,0.01,1.2,30,4,10,0,2,20,10,0.0,0.0,0.0,0.8898488120950324
11,50,3,0.01,1.2,30,4,10,0,2,20,15,0.1029517638588913,1.0,0.18668407310704963,0.1029517638588913
12,50,3,0.01,1.2,30,4,10,0,2,20,20,0.0,0.0,0.0,0.8984881209503239
13,50,3,0.01,1.2,30,4,10,0,2,20,25,0.10367170626349892,1.0,0.187866927592955,0.10367170626349892
14,50,3,0.01,1.2,30,4,10,0,2,20,30,0.0,0.0,0.0,0.8920086393088553
15,50,3,0.01,1.2,30,4,10,0,2,25,10,0.1259899208063355,1.0,0.22378516624040923,0.1259899208063355
16,50,3,0.01,1.2,30,4,10,0,2,25,15,0.0,0.0,0.0,0.896328293736501
17,50,3,0.01,1.2,30,4,10,0,2,25,20,0.10223182145428365,1.0,0.1854996734160679,0.10223182145428365
18,50,3,0.01,1.2,30,4,10,0,2,25,25,0.0,0.0,0.0,0.89056875449964
19,50,3,0.01,1.2,30,4,10,0,2,25,30,0.0,0.0,0.0,0.8898488120950324
20,50,3,0.01,1.2,30,4,10,0,2,30,10,0.11375089992800576,1.0,0.20426632191338076,0.11375089992800576
21,50,3,0.01,1.2,30,4,10,0,2,30,15,0.0,0.0,0.0,0.89056875449964
22,50,3,0.01,1.2,30,4,10,0,2,30,20,0.0,0.0,0.0,0.9020878329733621
23,50,3,0.01,1.2,30,4,10,0,2,30,25,0.10655147588192944,1.0,0.1925829538061158,0.10655147588192944
24,50,3,0.01,1.2,30,4,10,0,2,30,30,0.0,0.0,0.0,0.8984881209503239
25,50,3,0.01,1.2,30,4,10,0,2,35,10,0.0,0.0,0.0,0.8941684665226782
26,50,3,0.01,1.2,30,4,10,0,2,35,15,0.0,0.0,0.0,0.9071274298056156
27,50,3,0.01,1.2,30,4,10,0,2,35,20,0.0,0.0,0.0,0.8891288696904248
28,50,3,0.01,1.2,30,4,10,0,2,35,25,0.0,0.0,0.0,0.89056875449964
29,50,3,0.01,1.2,30,4,10,0,2,35,30,0.0,0.0,0.0,0.8891288696904248
30,50,3,0.01,1.2,30,4,10,0,2,40,10,0.0,0.0,0.0,0.9107271418286537
31,50,3,0.01,1.2,30,4,10,0,2,40,15,0.0,0.0,0.0,0.8934485241180705
32,50,3,0.01,1.2,30,4,10,0,2,40,20,0.10151187904967603,1.0,0.18431372549019606,0.10151187904967603
33,50,3,0.01,1.2,30,4,10,0,2,40,25,0.0,0.0,0.0,0.8984881209503239
34,50,3,0.01,1.2,30,4,10,0,2,40,30,0.11303095752339813,1.0,0.20310478654592498,0.11303095752339813
35,50,3,0.01,1.2,30,4,10,0,3,10,10,0.09863210943124551,1.0,0.1795543905635649,0.09863210943124551
36,50,3,0.01,1.2,30,4,10,0,3,10,15,0.10943124550035997,1.0,0.1972744970798183,0.10943124550035997
37,50,3,0.01,1.2,30,4,10,0,3,10,20,0.08999280057595392,1.0,0.16512549537648613,0.08999280057595392
38,50,3,0.01,1.2,30,4,10,0,3,10,25,0.11375089992800576,1.0,0.20426632191338076,0.11375089992800576
39,50,3,0.01,1.2,30,4,10,0,3,10,30,0.1101511879049676,1.0,0.19844357976653695,0.1101511879049676
40,50,3,0.01,1.2,30,4,10,0,3,15,10,0.0,0.0,0.0,0.9006479481641468
41,50,3,0.01,1.2,30,4,10,0,3,15,15,0.12023038156947444,1.0,0.2146529562982005,0.12023038156947444
42,50,3,0.01,1.2,30,4,10,0,3,15,20,0.10223182145428365,1.0,0.1854996734160679,0.10223182145428365
43,50,3,0.01,1.2,30,4,10,0,3,15,25,0.11375089992800576,1.0,0.20426632191338076,0.11375089992800576
44,50,3,0.01,1.2,30,4,10,0,3,15,30,0.0,0.0,0.0,0.9092872570194385
45,50,3,0.01,1.2,30,4,10,0,3,20,10,0.10223182145428365,1.0,0.1854996734160679,0.10223182145428365
46,50,3,0.01,1.2,30,4,10,0,3,20,15,0.10511159107271419,1.0,0.19022801302931594,0.10511159107271419
47,50,3,0.01,1.2,30,4,10,0,3,20,20,0.10655147588192944,1.0,0.1925829538061158,0.10655147588192944
48,50,3,0.01,1.2,30,4,10,0,3,20,25,0.10439164866810655,1.0,0.18904823989569752,0.10439164866810655
49,50,3,0.01,1.2,30,4,10,0,3,20,30,0.10655147588192944,1.0,0.1925829538061158,0.10655147588192944
50,50,3,0.01,1.2,30,4,10,0,3,25,10,0.0,0.0,0.0,0.8999280057595392
51,50,3,0.01,1.2,30,4,10,0,3,25,15,0.0,0.0,0.0,0.896328293736501
52,50,3,0.01,1.2,30,4,10,0,3,25,20,0.1079913606911447,1.0,0.1949317738791423,0.1079913606911447
53,50,3,0.01,1.2,30,4,10,0,3,25,25,0.0,0.0,0.0,0.8992080633549316
54,50,3,0.01,1.2,30,4,10,0,3,25,30,0.0,0.0,0.0,0.8948884089272858
55,50,3,0.01,1.2,30,4,10,0,3,30,10,0.0,0.0,0.0,0.8999280057595392
56,50,3,0.01,1.2,30,4,10,0,3,30,15,0.0,0.0,0.0,0.8970482361411087
57,50,3,0.01,1.2,30,4,10,0,3,30,20,0.0,0.0,0.0,0.8970482361411087
58,50,3,0.01,1.2,30,4,10,0,3,30,25,0.0,0.0,0.0,0.9071274298056156
59,50,3,0.01,1.2,30,4,10,0,3,30,30,0.0,0.0,0.0,0.8999280057595392
60,50,3,0.01,1.2,30,4,10,0,3,35,10,0.0,0.0,0.0,0.8934485241180705
61,50,3,0.01,1.2,30,4,10,0,3,35,15,0.0,0.0,0.0,0.8862491000719942
62,50,3,0.01,1.2,30,4,10,0,3,35,20,0.0,0.0,0.0,0.8948884089272858
63,50,3,0.01,1.2,30,4,10,0,3,35,25,0.0,0.0,0.0,0.8992080633549316
64,50,3,0.01,1.2,30,4,10,0,3,35,30,0.0,0.0,0.0,0.8869690424766019
65,50,3,0.01,1.2,30,4,10,0,3,40,10,0.1101511879049676,1.0,0.19844357976653695,0.1101511879049676
66,50,3,0.01,1.2,30,4,10,0,3,40,15,0.0,0.0,0.0,0.8984881209503239
67,50,3,0.01,1.2,30,4,10,0,3,40,20,0.09071274298056156,1.0,0.16633663366336635,0.09071274298056156
68,50,3,0.01,1.2,30,4,10,0,3,40,25,0.0,0.0,0.0,0.9013678905687545
69,50,3,0.01,1.2,30,4,10,0,3,40,30,0.0,0.0,0.0,0.8876889848812095
70,50,3,0.01,1.2,30,4,10,1,2,10,10,0.0,0.0,0.0,0.9006479481641468
71,50,3,0.01,1.2,30,4,10,1,2,10,15,0.0,0.0,0.0,0.8927285817134629
72,50,3,0.01,1.2,30,4,10,1,2,10,20,0.0,0.0,0.0,0.8956083513318934
73,50,3,0.01,1.2,30,4,10,1,2,10,25,0.1029517638588913,1.0,0.18668407310704963,0.1029517638588913
74,50,3,0.01,1.2,30,4,10,1,2,10,30,0.10007199424046076,1.0,0.1819371727748691,0.10007199424046076
75,50,3,0.01,1.2,30,4,10,1,2,15,10,0.10727141828653708,1.0,0.19375812743823148,0.10727141828653708
